guns detected at: 2020-10-29 23:55:43.801640
guns detected at: 2020-10-29 23:55:43.851767
guns detected at: 2020-10-29 23:55:43.901566
guns detected at: 2020-10-29 23:55:43.951441
guns detected at: 2020-10-29 23:55:44.001786
guns detected at: 2020-10-29 23:55:44.051184
guns detected at: 2020-10-29 23:55:44.100914
guns detected at: 2020-10-29 23:55:44.151014
guns detected at: 2020-10-29 23:55:44.201558
guns detected at: 2020-10-29 23:55:44.250591
guns detected at: 2020-10-29 23:55:44.300524
guns detected at: 2020-10-29 23:55:44.349173
guns detected at: 2020-10-29 23:55:44.398032
guns detected at: 2020-10-29 23:55:44.446478
guns detected at: 2020-10-29 23:55:44.499620
guns detected at: 2020-10-29 23:55:44.548258
guns detected at: 2020-10-29 23:55:44.597086
guns detected at: 2020-10-29 23:55:44.645805
guns detected at: 2020-10-29 23:55:44.694325
guns detected at: 2020-10-29 23:55:44.747450
guns detected at: 2020-10-29 23:55:44.795582
guns detected at: 2020-10-29 23:55:44.842585
guns detected at: 2020-10-29 23:55:44.890871
